scenario,year,revenue,cogs,gross_profit,gross_margin_pct,sga,ebit,tax,net_income,da,capex,delta_nwc,cfo,cfi,dividends,buybacks,debt_change,cff,delta_cash,fcf,cash,debt,equity,op_assets,other_liab,total_assets,roic_pct,fcf_yield_pct
Base,2021,27.106,20.317,6.789,25.05,1.342,5.447,1.307,4.140,,,,4.367,0.000,,,,,,4.367,2.236,1.373,16.889,16.026,0.000,18.262,25.83,12.79
Base,2022,33.671,24.884,8.787,26.10,3.481,5.306,1.273,4.033,,,,2.481,0.000,,,,-2.174,0.307,2.481,2.543,1.494,19.046,17.997,0.000,20.540,23.70,9.63
Base,2023,34.233,27.316,6.917,20.21,2.245,4.672,1.121,3.551,,,,2.414,0.000,,,,-1.487,0.927,2.414,3.470,2.756,20.593,19.879,0.000,23.349,18.75,5.77
Base,2024,35.435,28.993,6.442,18.18,1.623,4.819,1.157,3.662,,,,4.373,0.000,,,,-3.180,1.193,4.373,4.663,2.828,21.949,20.114,0.000,24.777,18.32,11.79
Base,2025,34.189,28.258,5.931,17.35,3.077,2.854,0.685,2.169,,,,0.788,0.000,,,,-1.520,-0.732,0.788,3.931,5.522,22.752,24.343,0.000,28.274,9.76,3.04
Base,2026,35.215,28.946,6.268,17.80,3.275,2.993,0.718,2.275,0.247,0.317,0.062,2.460,-0.317,0.682,0.429,0.000,-1.111,1.032,2.143,4.963,5.522,23.916,24.475,0.000,29.438,9.32,8.27
Base,2027,36.623,29.848,6.775,18.50,3.369,3.406,0.817,2.589,0.256,0.330,0.085,2.760,-0.330,0.777,0.486,0.000,-1.263,1.168,2.431,6.131,5.522,25.242,24.633,-0.000,30.764,10.54,9.39
Base,2028,38.088,30.851,7.237,19.00,3.466,3.771,0.905,2.866,0.267,0.343,0.088,3.044,-0.343,0.860,0.540,0.000,-1.400,1.302,2.702,7.433,5.522,26.707,24.797,0.000,32.229,11.60,10.43
Base,2029,39.231,31.659,7.572,19.30,3.531,4.041,0.970,3.071,0.275,0.353,0.069,3.277,-0.353,0.921,0.585,0.000,-1.506,1.418,2.924,8.850,5.522,28.272,24.944,0.000,33.794,12.35,11.29
Base,2030,40.408,32.528,7.880,19.50,3.637,4.243,1.018,3.225,0.283,0.364,0.071,3.437,-0.364,0.967,0.615,0.000,-1.582,1.491,3.073,10.342,5.522,29.915,25.095,0.000,35.437,12.89,11.87
Bull,2021,27.106,20.317,6.789,25.05,1.342,5.447,1.307,4.140,,,,4.367,0.000,,,,,,4.367,2.236,1.373,16.889,16.026,0.000,18.262,25.83,12.79
Bull,2022,33.671,24.884,8.787,26.10,3.481,5.306,1.273,4.033,,,,2.481,0.000,,,,-2.174,0.307,2.481,2.543,1.494,19.046,17.997,0.000,20.540,23.70,9.63
Bull,2023,34.233,27.316,6.917,20.21,2.245,4.672,1.121,3.551,,,,2.414,0.000,,,,-1.487,0.927,2.414,3.470,2.756,20.593,19.879,0.000,23.349,18.75,5.77
Bull,2024,35.435,28.993,6.442,18.18,1.623,4.819,1.157,3.662,,,,4.373,0.000,,,,-3.180,1.193,4.373,4.663,2.828,21.949,20.114,0.000,24.777,18.32,11.79
Bull,2025,34.189,28.258,5.931,17.35,3.077,2.854,0.685,2.169,,,,0.788,0.000,,,,-1.520,-0.732,0.788,3.931,5.522,22.752,24.343,0.000,28.274,9.76,3.04
Bull,2026,36.240,29.536,6.704,18.50,3.262,3.443,0.826,2.617,0.254,0.326,0.123,2.747,-0.326,0.785,0.605,0.000,-1.390,1.031,2.421,4.962,5.522,23.978,24.539,-0.000,29.500,10.71,9.35
Bull,2027,38.415,30.924,7.491,19.50,3.419,4.072,0.977,3.095,0.269,0.346,0.130,3.233,-0.346,0.928,0.722,0.000,-1.650,1.237,2.887,6.199,5.522,25.423,24.746,-0.000,30.945,12.56,11.15
Bull,2028,40.335,32.067,8.269,20.50,3.550,4.719,1.133,3.587,0.282,0.363,0.115,3.754,-0.363,1.076,0.848,0.000,-1.924,1.467,3.391,7.666,5.522,27.086,24.942,0.000,32.608,14.44,13.09
Bull,2029,42.352,33.458,8.894,21.00,3.685,5.209,1.250,3.959,0.296,0.381,0.121,4.135,-0.381,1.188,0.938,0.000,-2.126,1.627,3.753,9.293,5.522,28.919,25.147,0.000,34.441,15.81,14.49
Bull,2030,44.046,34.576,9.470,21.50,3.832,5.638,1.353,4.285,0.308,0.396,0.102,4.492,-0.396,1.285,1.024,0.000,-2.309,1.786,4.095,11.079,5.522,30.894,25.337,0.000,36.416,16.97,15.81
Bear,2021,27.106,20.317,6.789,25.05,1.342,5.447,1.307,4.140,,,,4.367,0.000,,,,,,4.367,2.236,1.373,16.889,16.026,0.000,18.262,25.83,12.79
Bear,2022,33.671,24.884,8.787,26.10,3.481,5.306,1.273,4.033,,,,2.481,0.000,,,,-2.174,0.307,2.481,2.543,1.494,19.046,17.997,0.000,20.540,23.70,9.63
Bear,2023,34.233,27.316,6.917,20.21,2.245,4.672,1.121,3.551,,,,2.414,0.000,,,,-1.487,0.927,2.414,3.470,2.756,20.593,19.879,0.000,23.349,18.75,5.77
Bear,2024,35.435,28.993,6.442,18.18,1.623,4.819,1.157,3.662,,,,4.373,0.000,,,,-3.180,1.193,4.373,4.663,2.828,21.949,20.114,0.000,24.777,18.32,11.79
Bear,2025,34.189,28.258,5.931,17.35,3.077,2.854,0.685,2.169,,,,0.788,0.000,,,,-1.520,-0.732,0.788,3.931,5.522,22.752,24.343,0.000,28.274,9.76,3.04
Bear,2026,33.505,27.876,5.629,16.80,3.284,2.345,0.563,1.782,0.235,0.302,-0.041,2.058,-0.302,0.446,0.176,0.000,-0.621,1.135,1.756,5.066,5.522,23.913,24.369,0.000,29.435,7.32,6.78
Bear,2027,33.840,28.087,5.753,17.00,3.283,2.470,0.593,1.877,0.237,0.305,0.020,2.094,-0.305,0.469,0.179,0.000,-0.648,1.141,1.790,6.208,5.522,25.142,24.457,0.000,30.664,7.69,6.91
Bear,2028,34.517,28.546,5.971,17.30,3.314,2.658,0.638,2.020,0.242,0.311,0.041,2.221,-0.311,0.505,0.191,0.000,-0.696,1.214,1.910,7.422,5.522,26.466,24.566,0.000,31.988,8.24,7.38
Bear,2029,35.207,29.046,6.161,17.50,3.345,2.817,0.676,2.141,0.246,0.317,0.041,2.346,-0.317,0.535,0.203,0.000,-0.738,1.291,2.029,8.713,5.522,27.869,24.678,0.000,33.391,8.69,7.83
Bear,2030,35.912,29.555,6.356,17.70,3.412,2.945,0.707,2.238,0.251,0.323,0.042,2.447,-0.323,0.560,0.212,0.000,-0.772,1.352,2.124,10.065,5.522,29.335,24.792,0.000,34.857,9.05,8.20
